Мдт;Материал;Краткий текст материала;Длинный текст материала;Создано;Создал;ПслднИзм;Изменил;ВидМ;ГруппаМтр;БЕИ
400;000000001300198531;Подшипник 180610 ГОСТ520;Подшипник 180610 ГОСТ520;29.10.2014;TMZ-KIV02;07.02.2025;TMK-KAG;ZZAP;N13040000;ШТ
400;000000001300198532;Подшипник 25 ГОСТ520;Подшипник 25 ГОСТ520;29.10.2014;TMZ-KIV02;07.02.2025;TMK-KAG;ZZAP;N13040000;ШТ
400;000000001300198533;Подшипник 26 ГОСТ520;Подшипник 26 ГОСТ520;29.10.2014;TMZ-KIV02;07.02.2025;TMK-KAG;ZZAP;N13040000;ШТ
400;000000001300198534;Подшипник 1203 ГОСТ520;Подшипник 1203 ГОСТ520;29.10.2014;TMZ-KIV02;07.02.2025;TMK-KAG;ZZAP;N13040000;ШТ
400;000000001300198535;Подшипник 1218 ГОСТ520;Подшипник 1218 ГОСТ520;29.10.2014;TMZ-KIV02;07.02.2025;TMK-KAG;ZZAP;N13040000;ШТ
400;000000001300198536;Подшипник 1311 ГОСТ520;Подшипник 1311 ГОСТ520;29.10.2014;TMZ-KIV02;07.02.2025;TMK-KAG;ZZAP;N13040000;ШТ
400;000000001300198538;Подшипник 1316 ГОСТ520;Подшипник 1316 ГОСТ520;29.10.2014;TMZ-KIV02;07.02.2025;TMK-KAG;ZZAP;N13040000;ШТ
400;000000001300198539;Подшипник 1320 ГОСТ520;Подшипник 1320 ГОСТ520;29.10.2014;TMZ-KIV02;07.02.2025;TMK-KAG;ZZAP;N13040000;ШТ
400;000000001300198540;Подшипник 1605 ГОСТ520;Подшипник 1605 ГОСТ520;29.10.2014;TMZ-KIV02;07.02.2025;TMK-KAG;ZZAP;N13040000;ШТ
400;000000001300198541;Подшипник 1607 ГОСТ520;Подшипник 1607 ГОСТ520;29.10.2014;TMZ-KIV02;07.02.2025;TMK-KAG;ZZAP;N13040000;ШТ
400;000000001300198542;Подшипник 1610 ГОСТ520;Подшипник 1610 ГОСТ520;29.10.2014;TMZ-KIV02;07.02.2025;TMK-KAG;ZZAP;N13040000;ШТ
400;000000001300198544;Подшипник 2320 ГОСТ520;Подшипник 2320 ГОСТ520;29.10.2014;TMZ-KIV02;07.02.2025;TMK-KAG;ZZAP;N13040000;ШТ
400;000000001300198545;Подшипник 2322 ГОСТ520;Подшипник 2322 ГОСТ520;29.10.2014;TMZ-KIV02;07.02.2025;TMK-KAG;ZZAP;N13040000;ШТ
400;000000001300198546;Подшипник 2326 ГОСТ520;Подшипник 2326 ГОСТ520;29.10.2014;TMZ-KIV02;07.02.2025;TMK-KAG;ZZAP;N13040000;ШТ
400;000000001300198547;Подшипник 3514 ГОСТ520;Подшипник 3514 ГОСТ520;29.10.2014;TMZ-KIV02;07.02.2025;TMK-KAG;ZZAP;N13040000;ШТ
400;000000001300198548;Подшипник 3518 ГОСТ520;Подшипник 3518 ГОСТ520;29.10.2014;TMZ-KIV02;07.02.2025;TMK-KAG;ZZAP;N13040000;ШТ
400;000000001300198549;Подшипник 3611 ГОСТ520;Подшипник 3611 ГОСТ520;29.10.2014;TMZ-KIV02;07.02.2025;TMK-KAG;ZZAP;N13040000;ШТ
400;000000001300198550;Подшипник 7214 ГОСТ520;Подшипник 7214 ГОСТ520;29.10.2014;TMZ-KIV02;07.02.2025;TMK-KAG;ZZAP;N13040000;ШТ
400;000000001300198551;Подшипник 7215 ГОСТ520;Подшипник 7215 ГОСТ520;29.10.2014;TMZ-KIV02;07.02.2025;TMK-KAG;ZZAP;N13040000;ШТ
400;000000001300198554;Подшипник 7519 ГОСТ520;Подшипник 7519 ГОСТ520;29.10.2014;TMZ-KIV02;31.03.2025;RFCGWESBMOS;ZZAP;N13040000;ШТ
400;000000001300198555;Подшипник 7605 ГОСТ520;Подшипник 7605 ГОСТ520;29.10.2014;TMZ-KIV02;07.02.2025;TMK-KAG;ZZAP;N13040000;ШТ
400;000000001300198557;Подшипник 7615 ГОСТ520;Подшипник 7615 ГОСТ520;29.10.2014;TMZ-KIV02;07.02.2025;TMK-KAG;ZZAP;N13040000;ШТ
400;000000001300198558;Подшипник 8312 ГОСТ520;Подшипник 8312 ГОСТ520;29.10.2014;TMZ-KIV02;07.02.2025;TMK-KAG;ZZAP;N13040000;ШТ
400;000000001300198560;Подшипник 12308 ГОСТ520;Подшипник 12308 ГОСТ520;29.10.2014;TMZ-KIV02;07.02.2025;TMK-KAG;ZZAP;N13040000;ШТ
400;000000001300198562;Подшипник 27310 ГОСТ520;Подшипник 27310 ГОСТ520;29.10.2014;TMZ-KIV02;07.02.2025;TMK-KAG;ZZAP;N13040000;ШТ
400;000000001300198563;Подшипник 27311 ГОСТ520;Подшипник 27311 ГОСТ520;29.10.2014;TMZ-KIV02;07.02.2025;TMK-KAG;ZZAP;N13040000;ШТ
400;000000001300198565;Подшипник 32213 ГОСТ520;Подшипник 32213 ГОСТ520;29.10.2014;TMZ-KIV02;07.02.2025;TMK-KAG;ZZAP;N13040000;ШТ
400;000000001300198566;Подшипник 32228 ГОСТ520;Подшипник 32228 ГОСТ520;29.10.2014;TMZ-KIV02;07.02.2025;TMK-KAG;ZZAP;N13040000;ШТ
400;000000001300198567;Подшипник 42215 ГОСТ520;Подшипник 42215 ГОСТ520;29.10.2014;TMZ-KIV02;07.02.2025;TMK-KAG;ZZAP;N13040000;ШТ
400;000000001300198568;Подшипник 42315 ГОСТ520;Подшипник 42315 ГОСТ520;29.10.2014;TMZ-KIV02;07.02.2025;TMK-KAG;ZZAP;N13040000;ШТ
400;000000001300198569;Подшипник 42415 ГОСТ520;Подшипник 42415 ГОСТ520;29.10.2014;TMZ-KIV02;07.02.2025;TMK-KAG;ZZAP;N13040000;ШТ
400;000000001300198570;Подшипник 53522 ГОСТ520;Подшипник 53522 ГОСТ520;29.10.2014;TMZ-KIV02;07.02.2025;TMK-KAG;ZZAP;N13040000;ШТ
400;000000001300198571;Подшипник 62612 ГОСТ520;Подшипник 62612 ГОСТ520;29.10.2014;TMZ-KIV02;07.02.2025;TMK-KAG;ZZAP;N13040000;ШТ
400;000000001300198572;Подшипник 113634 ГОСТ520;Подшипник 113634 ГОСТ520;29.10.2014;TMZ-KIV02;07.02.2025;TMK-KAG;ZZAP;N13040000;ШТ
